subject,location,strenght,centroid,min,max
1,1,1,-36.32544007,-111,23
2,1,1,-7.505319149,-27,12
3,1,1,20.29433681,-24,61
4,1,1,128.9428076,110,143
5,1,1,42.55277778,17,67
6,1,1,-1.806094183,-26,13
7,1,1,-47.25546218,-98,13
8,1,1,-34.1886423,-109,40
9,1,1,98.49402628,64,132
10,1,1,106.375,99,115
11,1,1,54.11988582,-9,116
1,1,2,-13.43886612,-107,70
2,1,2,-16.82263514,-39,6
3,1,2,65.0435249,-10,136
4,1,2,132.6185897,122,144
5,1,2,48.69950125,-34,130
6,1,2,54.29098361,-18,125
7,1,2,-46.11950098,-107,8
8,1,2,-4.290748899,-38,19
9,1,2,22.59719143,-53,28
10,1,2,42.75521351,-16,110
11,1,2,52.36901865,-14,125
1,4,1,14.55609756,-1,31
2,4,1,2.928449744,-16,22
3,4,1,58.4752234,-24,115
4,4,1,1.972323379,-31,33
5,4,1,3.198417529,-66,80
6,4,1,73.28944505,40,116
7,4,1,-0.789036545,-28,29
8,4,1,3.210822999,-46,65
9,4,1,77.68552413,14,136
10,4,1,101.9919355,96,109
11,4,1,21.61468765,-34,86
1,4,2,48.51069873,-38,141
2,4,2,38.9244868,-29,119
3,4,2,85.83001894,46,116
4,4,2,1.622140897,-40,45
5,4,2,25.34298441,-22,95
6,4,2,60.87394958,37,88
7,4,2,-0.543193717,-34,34
8,4,2,4.74301676,-46,56
9,4,2,-22.49656256,-93,35
10,4,2,10.1498719,-34,106
11,4,2,32.83258427,-18,112
1,7,1,-2.183588317,-38,27
2,7,1,-0.134353741,-18,19
3,7,1,-4.19055794,-33,24
4,7,1,-0.254816112,-38,34
5,7,1,90.19035533,14,132
6,7,1,-15.46953938,-43,7
7,7,1,-44.22292994,-130,25
8,7,1,17.36909091,-63,102
9,7,1,108.5609756,89,130
10,7,1,98,96,100
11,7,1,49.53775744,27,76
1,7,2,35.69527632,-61,134
2,7,2,68.37246377,-14,132
3,7,2,18.30440587,-34,87
4,7,2,11.50096043,-22,45
5,7,2,45.88691182,-34,122
6,7,2,-17.66394113,-52,19
7,7,2,-31.84149723,-107,34
8,7,2,67.49942726,-18,135
9,7,2,40.95248955,-7,88
10,7,2,56.76421002,-18,115
11,7,2,38.08306414,-43,134
1,2,1,-35.79875195,-98,34
2,2,1,-10.74528302,-50,29
3,2,1,100.4090909,96,105
4,2,1,66.09167446,37,87
5,2,1,52.03664921,26,81
6,2,1,107.8711217,83,136
7,2,1,61.44217687,40,82
8,2,1,56.47357294,30,90
9,2,1,103.1007407,74,130
10,2,1,65.40893471,-12,111
11,2,1,46.11151079,16,77
1,2,2,31.59299297,-89,174
2,2,2,58.65338809,-14,133
3,2,2,56.84907131,-14,129
4,2,2,40.52402957,-8,87
5,2,2,52.81782511,-14,113
6,2,2,41.74854086,-34,129
7,2,2,-8.652383503,-113,93
8,2,2,-55.643377,-159,81
9,2,2,4.066121984,-88,83
10,2,2,24.11155041,-36,111
11,2,2,43.53581395,-15,99
1,3,1,-42.4029029,-109,167
2,3,1,49.97099237,31,68
3,3,1,102.3962264,96,109
4,3,1,69.04786325,58,81
5,3,1,39.36577017,-7,85
6,3,1,107.2020202,78,136
7,3,1,17.03571429,-26,63
8,3,1,-39.75712515,-97,64
9,3,1,104.4872319,70,132
10,3,1,100.6735294,66,117
11,3,1,12.65648855,-18,45
1,3,2,47.60604559,-66,176
2,3,2,47.2338594,-130,130
3,3,2,49.20845729,-34,131
4,3,2,16.26959955,-19,48
5,3,2,41.49035454,-39,122
6,3,2,37.77256944,-34,109
7,3,2,-26.96166342,-121,77
8,3,2,-26.3728223,-105,58
9,3,2,-25.14157878,-75,61
10,3,2,34.31676759,-18,109
11,3,2,61.18072787,-23,138
1,5,1,10.08375635,-7,27
2,5,1,37.54242665,-24,80
3,5,1,98.65,92,105
4,5,1,15.66540643,-18,54
5,5,1,45.19964029,11,85
6,5,1,67.71884984,41,93
7,5,1,30.16381418,-25,77
8,5,1,8.63030888,-34,37
9,5,1,83.37986577,56,125
10,5,1,62.47777778,6,112
11,5,1,29.5962963,6,51
1,5,2,49.06171075,-22,109
2,5,2,57.95753846,-34,124
3,5,2,54.12605042,0,122
4,5,2,55.6929761,-13,134
5,5,2,24.49859067,-22,95
6,5,2,36.67591764,-17,89
7,5,2,-4.202424242,-90,70
8,5,2,-9.042864101,-50,38
9,5,2,49.79407616,23,70
10,5,2,31.84619395,-21,116
11,5,2,51.40113578,-18,116
1,6,1,1.288709677,-23,29
2,6,1,33.99743063,-1,77
3,6,1,94.04029304,78,109
4,6,1,13.05842138,-34,74
5,6,1,75.03712871,36,112
6,6,1,67.57069409,39,97
7,6,1,46.26923077,26,64
8,6,1,75.51054217,59,93
9,6,1,99.76349206,62,129
10,6,1,96.98941799,78,108
11,6,1,54.17989418,36,70
1,6,2,41.09334342,-50,134
2,6,2,44.2287234,-28,123
3,6,2,48.58841361,-67,131
4,6,2,47.47757299,-28,139
5,6,2,28.89478338,-34,109
6,6,2,48.75875486,-15,111
7,6,2,-11.78305882,-91,66
8,6,2,88.84363636,56,117
9,6,2,53.5419708,18,93
10,6,2,50.29010989,-22,125
11,6,2,47.27348919,-21,125
1,8,1,0.728241563,-12,19
2,8,1,76.20342857,-2,128
3,8,1,87.28771384,72,106
4,8,1,115.6808905,100,134
5,8,1,42.68686869,-20,86
6,8,1,92.35456476,74,110
7,8,1,-15.24497992,-101,71
8,8,1,-51.84634761,-114,20
9,8,1,100.5967033,76,122
10,8,1,100.7241379,98,103
11,8,1,43.11676647,28,59
1,8,2,15.55923567,-17,41
2,8,2,68.88272627,-27,132
3,8,2,54.79361378,-27,131
4,8,2,63.21917808,2,130
5,8,2,38.56976952,-70,123
6,8,2,35.26418123,-62,145
7,8,2,4.030067392,-105,80
8,8,2,-76.06306972,-134,13
9,8,2,67.33405384,14,125
10,8,2,51.91216216,-18,125
11,8,2,52.19742765,-23,128
1,9,1,-13.24489796,-43,16
2,9,1,96.67491468,76,121
3,9,1,95.2697201,78,105
4,9,1,83.30991736,74,93
5,9,1,49.98639456,-21,114
6,9,1,125.0237154,99,144
7,9,1,53.03089888,36,68
8,9,1,19.63691932,-46,81
9,9,1,105.0840249,76,134
10,9,1,105.0263158,101,109
11,9,1,58.640625,40,77
1,9,2,38.21620377,-53,128
2,9,2,57.26518847,-17,130
3,9,2,63.24025311,-13,133
4,9,2,50.44083527,-12,91
5,9,2,57.04946577,-40,123
6,9,2,18.74772036,-66,128
7,9,2,4.54071876,-102,68
8,9,2,23.19831687,-98,107
9,9,2,76.7055473,-20,141
10,9,2,67.61146497,-15,125
11,9,2,54.55529301,-6,134
